StartTime：2015年4月27日16:47:55
Time(s)	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T
9316.768	-0.5884	0.2231	-0.7778	2.7466	-1.1597	5.1270	165.3827	35.0079	138.3344	32.19
9316.797	-0.6011	0.2285	-0.7847	2.8076	-0.3662	6.6528	165.4706	35.0299	138.0048	32.18
9316.847	-0.5737	0.2354	-0.7896	1.7090	-1.7700	1.7090	165.5090	35.0024	137.5928	32.19
9316.917	-0.5850	0.2246	-0.7876	-1.3428	-0.1221	-4.3945	165.6464	35.0903	137.4554	32.21
9316.947	-0.5913	0.2148	-0.8003	-1.8311	5.3101	-5.4321	165.8551	35.1727	137.7026	32.19
9317.012	-0.6108	0.2080	-0.7803	1.7090	4.6387	-1.0376	166.1298	35.0134	138.0927	32.19
9317.046	-0.6089	0.2026	-0.7876	4.2114	0.1221	2.1973	166.4209	34.8431	138.2135	32.19
9317.096	-0.5957	0.2251	-0.7881	-2.1973	3.4790	1.0986	166.6956	34.8541	138.0762	32.18
9317.165	-0.5981	0.2148	-0.7871	-3.1738	3.9063	-2.8076	166.6956	34.7113	138.0487	32.19
9317.196	-0.5898	0.2134	-0.7896	-3.3569	2.7466	-4.2114	166.7889	34.5905	138.2574	32.19
9317.266	-0.5679	0.2046	-0.8008	-2.3804	-1.1597	-4.7607	166.9098	34.5410	138.5321	32.21
9317.295	-0.5635	0.1851	-0.8047	-4.1504	5.4932	-5.6152	167.0746	34.6729	138.7903	32.21
9317.345	-0.5771	0.1938	-0.8091	-0.5493	2.8076	0.6104	167.2394	34.4916	139.1858	32.20
9317.414	-0.5791	0.1826	-0.8057	-0.6104	1.8311	0.7324	167.3547	34.3707	139.1803	32.21
9317.445	-0.5791	0.1904	-0.8008	-0.5493	1.0986	2.1973	167.4591	34.3048	139.1473	32.21
9317.509	-0.5918	0.1978	-0.7988	0.1831	-0.8545	5.8594	167.5031	34.2609	139.0210	32.22
9317.544	-0.5840	0.2041	-0.8003	-1.7090	0.4272	0.7324	167.4426	34.2773	138.6584	32.19
9317.609	-0.5825	0.2021	-0.7954	-3.4790	2.1362	-2.4414	167.4646	34.2828	138.6090	32.20
9317.644	-0.5767	0.1982	-0.8032	-5.7983	3.6011	-5.7983	167.5195	34.2389	138.7683	32.19
9317.693	-0.5688	0.1870	-0.8105	-6.5308	2.8076	-5.4321	167.5800	34.1565	139.1473	32.21
9317.758	-0.5659	0.1802	-0.8135	-3.2959	2.2583	1.0986	167.5964	34.1016	139.4989	32.22
9317.793	-0.5728	0.1870	-0.8164	-0.5493	1.4648	4.2114	167.5580	34.0027	139.4495	32.20
9317.843	-0.5801	0.1768	-0.8062	-3.1738	0.9766	3.6621	167.5415	33.9148	139.2133	32.20
9317.915	-0.5737	0.1953	-0.8110	-0.9155	1.9531	7.7515	167.4207	33.8654	138.9990	32.22
9317.943	-0.5713	0.2017	-0.8027	-0.4272	0.6104	5.7373	167.2723	33.7170	138.5596	32.22
9318.008	-0.5781	0.1826	-0.8032	-1.9531	1.4038	10.8643	167.2064	33.6566	138.2190	32.22
9318.042	-0.5645	0.1768	-0.8174	1.4648	0.3662	12.7563	166.9153	33.5083	137.5928	32.19
9318.092	-0.5620	0.1851	-0.8237	1.3428	2.2583	19.0430	166.7340	33.3710	136.8457	32.20
9318.161	-0.5757	0.1230	-0.8042	11.9019	-4.7607	51.6968	166.3660	33.0743	135.7526	32.19
9318.191	-0.6108	0.0630	-0.8218	25.0854	1.4648	94.4824	165.4926	32.7448	132.6819	32.20
9318.261	-0.5078	0.1006	-0.8691	62.9272	4.0894	170.4712	164.0808	31.5637	127.2546	32.19
9318.291	-0.5923	0.3677	-0.8179	31.0669	55.5420	100.0366	162.4823	29.0643	117.6855	32.20
9318.341	-0.7197	0.2769	-0.8667	-58.7769	110.7178	-61.7676	161.9330	25.0159	113.1757	32.19
9318.410	-0.6938	0.0879	-0.8545	6.3477	65.1855	-86.1206	161.3232	20.9125	118.2953	32.19
9318.440	-0.6450	0.2402	-1.1133	21.0571	24.4751	-50.3540	163.8501	19.4183	123.7665	32.19
9318.490	-0.6841	0.3052	-1.2358	31.4941	-5.3101	-67.7490	166.0474	19.0723	126.6833	32.21
9318.560	-0.8257	0.2070	-1.3491	46.6309	-57.0068	-50.4150	168.8544	20.2533	130.0836	32.20
9318.590	-0.7827	0.2505	-1.3994	50.2930	-105.2246	-38.2690	172.0404	23.6371	132.1271	32.20
9318.653	-0.8506	0.3447	-1.3901	67.3218	-150.6348	-32.0435	175.1605	29.1302	133.3905	32.20
9318.689	-0.8438	0.4102	-1.3950	76.1719	-168.7622	-72.0825	179.0826	36.7328	134.4891	32.20
9318.739	-0.7427	0.4131	-1.2778	69.3970	-185.5469	-72.5708	-174.5892	45.0989	138.8123	32.21
9318.807	-0.8555	0.3438	-1.1367	63.3545	-206.1157	-53.4668	-166.7834	53.7671	145.1678	32.22
9318.839	-0.6484	0.1899	-0.7876	50.4150	-220.0317	-69.0918	-157.0880	62.9407	153.5669	32.20
9318.908	-0.6982	0.1597	-0.4990	26.9775	-221.6797	-17.5171	-140.3229	71.4221	169.9915	32.23
9318.938	-0.6328	-0.0298	-0.2168	4.0283	-253.5400	-9.0942	-116.5430	79.1510	-165.6299	32.22
9318.988	-0.5327	0.0503	0.0029	0.5493	-264.2212	-82.6416	-172.1722	84.2871	-104.1779	32.21
9319.056	-0.2832	0.0332	0.1821	44.3726	-284.7900	-137.6343	86.6656	96.7126	-44.9670	32.19
